beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
1187,945,946,11,6.0432997e-15,0.0,5.734825e-26,8.579092e-19,0.0003021533,1.8e-44,7.1918717e-12,1.0851063e-12,7.3670145e-16,1.9727286e-28,1.1005537e-08,0.9959988,8.632921e-14,2.3783372e-15,0.0036975169,9.597514e-32,3.755619e-16,1.15556245e-10,1.00217474e-19
1188,946,414,14,3.8109902e-18,0.0,6.8534698e-15,3.4256045e-14,0.0096650375,1.4415787e-28,1.999114e-06,4.462574e-11,7.94884e-20,3.6731962e-25,5.814397e-09,0.10210929,1.7183578e-10,1.6650779e-16,0.8882249,3.1611009e-31,4.4320618e-15,1.0863826e-11,3.026511e-15
1189,414,936,4,1.079936e-20,0.0,3.3375713e-20,1.1276198e-16,0.99760336,2.0955474e-30,0.00012065084,1.7812974e-17,1.1222743e-21,8.691929e-31,1.07459615e-08,1.7508775e-05,1.1650765e-14,2.6929321e-16,0.002259014,0.0,2.3782534e-17,3.201414e-09,3.6732187e-13
1190,936,949,4,2.0625585e-12,0.0,5.808915e-26,5.5536853e-16,0.99930215,1.89e-43,0.00057188544,6.1435655e-18,4.738302e-16,3.0068123e-36,4.50224e-05,2.1606155e-08,8.5389264e-13,3.7877253e-12,6.889889e-05,0.0,2.5740225e-13,1.2306844e-05,3.5280606e-18
1191,947,948,4,7.954102e-24,0.0,1.453349e-23,2.9164827e-13,0.8846237,1.4272852e-37,5.557433e-10,5.5670784e-13,5.282642e-27,9.224052e-20,0.11528599,1.8304845e-06,2.4435147e-13,1.7775151e-11,8.9008514e-05,3.9562494e-32,1.0283043e-17,3.278698e-08,1.8935683e-13
1192,948,162,10,2.1534293e-18,0.0,1.8258623e-27,1.1968838e-16,0.0016433125,1.7998676e-34,3.1042103e-07,6.8827207e-19,4.58463e-14,5.525113e-32,0.99825066,4.6503905e-11,1.934393e-08,2.249819e-12,4.19019e-09,0.0,1.2347475e-12,0.000105461,9.729123e-22
1193,162,174,12,4.967062e-16,0.0,1.0659392e-11,1.0261509e-06,2.928232e-06,9.340255e-29,0.00011580593,4.500041e-13,4.4541384e-11,2.15484e-28,0.23146527,4.8017e-07,0.767789,2.2929538e-09,0.00058015395,0.0,1.9867512e-07,4.5904435e-05,7.652441e-11
1194,949,947,10,8.2671805e-22,0.0,1.0421898e-31,5.756283e-11,1.215599e-06,8.9721613e-29,1.313919e-07,8.350355e-13,5.107697e-15,1.9472086e-23,0.99998474,2.4604013e-10,9.6389185e-06,6.262933e-14,3.5391759e-06,6e-45,1.00063985e-10,1.0608544e-07,9.5673576e-17
1195,947,963,12,2.0700499e-24,0.0,9.273731e-27,3.0871565e-08,0.00016247491,2.0023509e-35,0.0010672333,2.5429477e-13,9.696987e-17,2.1542407e-20,0.06449221,1.7964266e-09,0.9143285,4.404728e-13,0.019934446,1.18e-43,1.9663144e-11,1.4849191e-05,1.7853655e-17
1196,945,960,14,6.407138e-18,0.0,1.7154695e-25,4.8375206e-12,0.00086039014,7.371602e-37,2.2943573e-06,4.0155688e-22,7.092898e-17,4.170533e-29,1.292591e-08,8.024621e-10,5.3264565e-10,1.3517379e-16,0.9991383,3.249758e-39,1.0729549e-13,3.8710943e-10,1.5023542e-20
1197,282,490,14,1.4926908e-17,0.0,2.1908081e-24,6.0443534e-10,0.00436644,5.037416e-31,6.2100165e-09,1.0440213e-14,8.407777e-17,8.774706e-26,3.003167e-06,2.680533e-07,3.994024e-09,4.1255495e-13,0.99563026,1.3335785e-35,3.7856475e-11,1.4702891e-09,7.108652e-20
1198,270,467,17,7.8412945e-12,0.0,1.8784264e-33,6.620977e-16,0.020045703,1.8e-44,1.1202212e-06,9.431726e-16,4.0474606e-09,6.4905977e-28,0.045401208,1.7184851e-07,1.2719246e-09,9.3037894e-10,2.5043259e-05,0.0,1.7247946e-09,0.9345271,1.6647355e-23
1199,937,955,6,3.0705148e-15,0.0,3e-45,2.373768e-16,4.342018e-05,2.842423e-26,0.92124665,1.9613401e-11,0.006435209,1.2582327e-33,1.3919324e-06,7.982271e-11,5.8429786e-13,6.641409e-11,1.1271691e-07,0.0,1.3303024e-11,0.07227249,1.28567875e-20
1200,919,951,17,6.09488e-08,0.0,1.9435199e-31,8.022576e-16,8.49518e-09,2.1353556e-29,0.0032334325,7.396699e-15,5.9635314e-09,4.76e-43,8.781609e-10,2.9189342e-11,2.2565071e-11,4.8981412e-15,6.3045042e-12,0.0,6.2906974e-10,0.99676657,6.3907134e-17
